Let's try something.	Mari kita coba sesuatu.
I completely agree.	Saya sepenuhnya setuju.
Tom grudgingly did what Mary asked.	Tom melakukan apa yang Mary minta dengan berat hati.
I broke Tom's nose.	Aku melukai hidung Tom.
The rules have changed.	Aturan-aturanya sudah berubah.
The debate is continuing.	Debatnya berlanjut.
Tom could replace Mary.	Tom bisa menggantikan Mary.
Do you have anything in the refrigerator that I can eat?	Kamu punya sesuatu yang bisa aku makan di kulkas?
We know Tom will do whatever we tell him to do.	Kami tahu Tom akan melakukan apa saja yang kami perintahkan.
We're already planning to do that.	Kami sudah merencanakan itu.
What did Tom wear to the party?	Apa yang Tom kenakan di pesta?
Mistakes do happen.	Kesalahan bisa terjadi.
I've updated the blog entry.	Aku sudah memperbarui entri blognya.
Our neighbors were forced to sell their house.	Tetangga kita dipaksa untuk menjual rumahnya.
Eggs are getting more expensive.	Telur semakin mahal.
I'd rather stay home this weekend.	Aku lebih memilih tetap berada di rumah akhir pekan ini.
I have a stepbrother.	Saya punya kakak tiri.
We were all laughing.	Kami semua tertawa.
No stitches were needed.	Tidak perlu dijahit.
This is on sale.	Ini dijual.
Please tell the truth.	Tolong katakan yang sebenarnya.
Tom should just resign.	Tom sebaiknya mengundurkan diri.
Tom stayed for a while.	Tom tinggal selama beberapa waktu.
Tom is not able to swim.	Tom tidak bisa berenang.
Everybody tasted the food.	Semuanya mencicipi makanannya.
You don't need to answer this question.	Anda tidak perlu menjawab pertanyaan ini.
Sooner or later, someone is going to have to tell Tom that he needs to behave himself.	Cepat atau lambat, seseorang harus memberi tahu Tom kalau dia perlu menjaga perilakunya.
Eventually, someone is going to have to tell Tom that he needs to behave himself.	Pada akhirnya, seseorang harus memberi tahu Tom kalau dia perlu menjaga perilakunya.
My first French teacher's name was Tom Jackson.	Nama guru bahasa Prancis pertamaku adalah Tom Jackson.
Tom answered in the affirmative.	Tom menyetujuinya.
Parking and admission are free.	Parkir dan masuknya gratis.
Everybody came to an agreement.	Semuanya sepakat.
Tom appeared to be crying.	Tom kelihatannya menangis.
Today's Tom's birthday.	Hari ini ulang tahun Tom.
The water heater runs on gas.	Pemanas air itu berbahan bakar gas.
Tom, you're a liar.	Tom, kamu pembohong.
I get paid tomorrow.	Aku dapat gaji besok.
Tomorrow's payday.	Besok hari gajian.
Tomorrow is when I get paid.	Besok adalah hari di mana aku akan mendapatkan gaji.
As for me, I don't have any comments.	Kalau aku, aku tidak ada komentar apa-apa.
Call 1-800-828-6322 for a free brochure.	Hubungi 1-800-828-6322 untuk gratis brosur.
I like how it sounds.	Aku suka dengan bunyinya.
I like the way it sounds.	Aku suka dengan bunyinya.
That's a pretty sad-looking capital city.	Sungguh ibukota yang menyedihkan.
I have the feeling that I'll sleep well tonight.	Rasanya malam ini aku bisa tidur nyenyak.
Ikea instructions are not always perfect.	Petunjuk penyusunan dari Ikea tidak selalu sempurna.
We're closed today.	Hari ini kami tutup.
Gotcha.	Oke.
I will not tolerate this.	Saya tidak akan membiarkan ini.
He is circumcised, even though he is still a baby.	Dia sudah disunat walaupun masih bayi.
He also studies Chinese.	Dia juga belajar bahasa Cina.
I don't know where he is!	Saya tidak tahu dia di mana!
Have you already received my package?	Kamu sudah menerima paket kiriman saya?
He refused our offer of help.	Dia menolak tawaran bantuan kami.
"Open your mouth", said the dentist.	"Buka mulutnya", kata dokter gigi.
He became sick over the weekend.	Akhir pekan ini dia sakit.
They are swimming.	Mereka berenang.
They swim.	Mereka berenang.
Hopefully that is true.	Semoga itu benar.
My father is buying me a book.	Ayah saya membelikan saya sebuah buku.
My father bought me a book.	Ayah saya membelikan saya sebuah buku.
We are all wet from the sweat.	Kami semua basah karena keringat.
We are all wet from sweating.	Kami semua basah karena keringat.
Somebody has left the window open.	Seseorang pasti meninggalkan jendela dalam keadaan terbuka.
I also feel nothing.	Saya juga tidak merasakan apa-apa.
The prize is wrapped with paper.	Hadiahnya dibungkus dengan kertas.
He always hears the news on the radio.	Ia selalu mendengar berita di radio.
He always heard the news on the radio.	Ia selalu mendengar berita di radio.
Those books are really long.	Buku-buku itu sudah sangat lama.
Lina studies Ilokano.	Lina belajar bahasa Ilokano.
Lina studied the Ilokano language.	Lina belajar bahasa Ilokano.
We are making porridge for lunch.	Kami membuat bubur untuk makan siang.
I want orange juice.	Saya ingin jus jeruk.
I bought a watch and an empty box.	Saya membeli jam tangan dan kotak kosongnya.
We are making dumplings in the kitchen!	Kita membuat pangsit di dapur!
Celeste is making dumplings in the kitchen.	Celeste membuat pangsit di dapur.
Children run quickly.	Anak-anak berlari kencang.
Your customs declaration, please.	Mohon pemberitahuan pabean anda.
I was surprised when I saw her red hair.	Saya terkejut melihat rambutnya yang merah.
Tom is there too.	Tom juga di sana.
I will not apologise.	Saya tidak akan minta maaf.
Hey! Let's start eating.	Ayo! Kita mulai makan.
Fresh food is indeed very delicious.	Makanan segar memang sangat lezat.
Eat here with me.	Sini makan bersama saya.
Do you like songs?	Kamu suka lagu?
He's the enemy. Don't you understand?	Musuhnya itu dia. Apa kau tidak mengerti?
Tom couldn't hide his excitement.	Tom tidak mampu menyembunyikan antusiasmenya.
This girl is driving me crazy.	Gadis ini membuatku gila.
I have a favour to ask you.	Aku punya permintaan untukmu.
My father did not let me marry him.	Ayahku tidak membiarkanku menikahinya.
This factory also operates at night.	Pabrik ini juga beroperasi pada malam hari.
I have no idea what I'm talking about.	Aku tidak tahu apa yang aku bicarakan.
"Do not talk like that, dear child," replied the lady.	"Jangan berbicara seperti itu, wahai anakku," jawab si wanita.
Don't pat me on the head like I'm still a child!	Jangan mengelus-elus kepalaku seakan aku ini masih anak kecil!
I've already been to his house but he wasn't there.	Aku sudah pergi ke rumahnya tetapi dia tidak berada di sana.
Have you fallen asleep?	Apakah kamu sudah tidur?
Have you already gone to sleep?	Apakah kamu sudah tidur?
Dinda, Nurul and Sabina are friends. They've known each other since they were children.	Dinda, Nurul, dan Sabina bersahabat. Mereka sudah saling mengenal sejak kecil.
Despite being in different high schools, Widia and Susan still get along well.	Meskipun berbeda SMA, Widia dan Susan tetap akrab.
There is only Ila in natural science major, while Aldi, Ifan, and Ati are in social science major.	Hanya Ila yang berada di jurusan IPA, sementara Aldi, Ifan, dan Ati berada di jurusan IPS.
Is a natural science major better than a social science major?	Apakah jurusan IPA lebih baik daripada jurusan IPS?
I spend too much time in front of my computer.	Aku terlalu banyak menghabiskan waktu di depan komputerku.
I don't want to speak ill of the dead.	Aku tidak mau berbicara buruk tentang orang yang sudah mati.
Tom went home alone.	Tom pulang ke rumah sendirian.
From whom did Jihan know that Nel has a loving relationship with another person?	Dari mana Jihan bisa tahu bahwa Nel sudah berpacaran dengan orang lain?
From whom did Dejan know the song I've ever sung with my fellow friends from my village?	Dari mana Dejan tahu lagu yang pernah kunyanyikan bersama teman-teman sekampungku itu?
"It's been a while since I've seen milk in a bottle." "Me too. I somehow feel its nicer than milk in a paper carton, don't you?" "I was thinking the same thing."	"Sudah lama ya tidak minum susu dari botol." "Iya. Entah kenapa rasanya lebih enak daripada yang di kertas karton ya?" "Aku juga berpikir begitu."
You can buy it at the bookshop.	Kamu dapat membelinya di toko buku.
Don't talk about business while we are eating.	Jangan berbicara tentang bisnis saat kita makan.
Already eaten?	Sudah makan?
I shower once a day.	Saya mandi sehari sekali.
How did you get injured?	Bagaimana kamu bisa terluka?
Is she dating someone?	Apa ia kencan dengan seseorang?
Tom doesn't seem to be having any problems.	Tom tidak terlihat memiliki masalah.
Tom and I used to work together in Boston.	Tom dan aku dulu bekerja bersama di Boston.
Tom didn't look happy to see you.	Tom tak terlihat senang menemuimu.
Tom didn't have to be so formal.	Tom tidak perlu seformal itu.
That should get Tom's attention.	Itu pasti akan menarik perhatiannya Tom.
Nobody cares about our problems.	Tidak ada yang peduli terhadap masalah kita.
Tom lost his reading glasses.	Tom kehilangan kacamata bacanya.
Do you still read books?	Apa kau masih membaca buku-buku?
You may close the door.	Kamu boleh menutup pintunya.
We did what we could.	Kami melakukan yang kami bisa.
The boy is just like his father.	Anak laki-laki sama seperti ayahnya.
Is that really true!	Apa itu memang benar!
Is that for real!	Apa itu benar!
Mary's stew was so delicious that Tom had a second helping.	Rebusan Mary sangat enak sampai-sampai Tom minta tambah.
Do you have a lot of money with you?	Apa kau membawa banyak uang?
Do you think Tom looks like an old man?	Apa menurutmu Tom terlihat seperti orang tua?
And that is where the difference lies.	Dan di situlah letak perbedaannya.
Really!	Sungguh!
We'll have to do something.	Kita harus melakukan sesuatu.
Tom left without even telling me.	Tom pergi tanpa memberitahuku.
Tom says he's cut down on drinking.	Tom bilang dia mengurangi frekuensi minumnya.
Looks like the weather's gotten worse, eh?	Cuacanya makin buruk aja ya sepertinya.
I'll wait at the bus stop.	Akan kutunggu di halte bus.
I wonder if I have any reason to live.	Aku ingin tahu apa aku punya alasan untuk hidup?
I wonder if my life is worth living.	Aku ingin tahu apa hidupku ini berharga?
Excuse me. Where's the metro?	Permisi. Metro ada di mana ya?
Excuse me. Where's the subway?	Permisi. Stasiun kereta bawah tanah ada di mana ya?
She prefers blood oranges.	Dia lebih suka jeruk merah.
This is the highest selling book of the month.	Ini adalah buku terlaris bulan ini.
Tom is acting on his own.	Tom bertindak atas kemauannya sendiri.
The beautiful widow was being talked about by the people in the village.	Janda kembang itu jadi buah bibir orang-orang di desa.
He's twenty-four years old.	Dia dua puluh empat tahun.
Tom thanked everyone for waiting.	Tom berterima kasih kepada semuanya karena telah menunggu.
Nobody knows what will happen in the future.	Tidak seorang pun akan tahu apa yang akan terjadi di masa depan.
What has happened to you?	Kamu kenapa?
He can overcome any obstacle.	Dia bisa mengatasi rintangan apapun.
It's thanks to you.	Itu berkat dirimu.
Mary doesn't like men who look like Tom.	Mary tidak menyukai pria yang terlihat seperti Tom.
She smiled and said goodbye	Dia tersenyum dan mengatakan selamat tinggal.
Please turn right at the next intersection.	Tolong belok kanan di persimpangan berikutnya.
Tom goes for a walk every morning.	Tom pergi jalan-jalan setiap pagi.
Did you tell Tom that Mary did this?	Kamu memberitahu Tom kalau Mary melakukan ini?
So, are you all ready for Christmas?	Jadi, apakah anda semua sudah siap untuk natal?
This Christmas I want your presence, not your presents.	Natal kali ini saya ingin keberadaanmu, bukan hadiahmu
Nobody doubts that Mary is telling the truth, but her way of speaking makes people uncomfortable.	Tak seorangpun menyangsikan bahwa Mary mengatakan hal yang sebenarnya, namun cara dia menyampaikanny membuat orang lain tidak nyaman
Tom passed away quickly, in the middle of the summer, without bothering anyone.	Tom meninggal dengan cepat, di tengah musim panas, tanpa mengganggu seorangpun.
It is heartbreaking for our family to accept the likelihood of spending a third Christmas without Mary.	Adalah sebuah kesedihan mendalam bagi keluarga kami untuk menerima kemungkinan merayakan natal ketiga kami tanpa Mary
A certain man called Tom used to see Christmas as a feast without the least sense to it.	Seseorang bernama Tom dahulu sering melihat perayaan Natal hanya sebagai sebuah pesta tanpa adanya pengertian dibalik perayaan natal.
I don't want a present. I want a future.	Saya tidak ingin sebuah hadiah. Saya menginginkan masa depan
Merry Christmas to all of Tom's supporters and our best wishes for a very good and peaceful 2016.	Selamat Natal kepada semua pendukung Tom dan salam hangat dari kami untuk tahun 2016 yang damai dan sangat baik
Right now I am typing using electronic keyboard which plugged into a computer	Saya saat ini sedang mengetik menggunakan pakelik yang tersambung ke komputer
My mother is a crazy woman.	Ibuku gila.
I'll sell the jewelry to customers.	Aku akan menjual perhiasannya kepada para pelanggan.
Why don't you follow his example?	Bagaimana kalau kau mencontohnya?
Marko has a dog. His dog is very small.	Marko punya seekor anjing. Anjingnya sangat kecil.
I don't have anything to say to you.	Tidak ada yang ingin kukatakan padamu.
There are roses in front of the steel building.	Ada bunga mawar di depan bangunan baja itu.
Take a seat!	Duduklah!
Tom didn't seem to understand what you were saying.	Tom sepertinya nggak ngerti kamu ngomong apa.
It's Tom who deserves credit.	Tomlah yang pantas mendapatkan penghargaan.
He drinks water.	Dia minum air.
With that performance, you have surpassed yourself. Congratulations!	Dengan prestasi itu, kamu sudah melampaui dirimu sendiri. Selamat!
We've done what we can.	Kami telah melakukan yang kami bisa.
How did this effect you?	Bagaimana efeknya untukmu?
What should we focus on?	Kita harus fokus pada apa?
She didn't tell me her name.	Dia tidak memberitahuku namanya.
Do you want to have dinner with me tomorrow, at my house?	Apakah kamu mau makan malam dengan saya besok, di rumah saya?
Do you want to eat dinner with me tomorrow, at my house?	Kamu mau makan malam denganku besok, di rumahku?
I live next to an old bookshop.	Saya tinggal di dekat sebuah toko buku tua.
I go.	Saya pergi.
Sure.	Tentu.
That doesn't sound too difficult.	Kedengarannya itu tidak terlalu sulit.
I think that girl was pretty when she was younger.	Aku pikir anak perempuan itu dulunya cantik ketika ia lebih muda.
To find a job is difficult.	Mencari pekerjaan itu susah.
She treated his wound.	Ia merawat lukanya.
My favorite Pizza is Hawaiian.	Pizza favorit saya adalah Hawaiian Pizza.
My favorite pizza is pepperoni pizza.	Pizza favorit saya adalah pizza pepperoni.
It looks like there's an elevator over there.	Sepertinya ada lift di sekitar sana.
Your name affects your personality.	Nama Anda mempengaruhi kepribadian Anda.
Go, please, to the house of your brother Amnon.	Tolong pergi ke rumah saudaramu Amnon.
You are - do not be angry, please - a strange communist.	Kau - tolong jangan marah - komunis aneh.
I am eating a sandwich with margarine.	Saya makan sepotong sandwich dengan margarin.
I eat sandwiches with margarine.	Saya makan sandwich dengan margarin.
I eat the sandwich with margarine.	Saya makan sandwich dengan margarin.
You believe in Tom.	Kalian percaya dengan Tom.
I'd never seen you like that before.	Saya belum pernah melihat Anda seperti itu sebelumnya.
We saw a good film yesterday.	Kami menonton film bagus kemarin.
Do not try to run away, please, because the eyes of your enemies are watchful.	Tolong jangan coba-coba kabur, sebab mata musuh-musuhmu sedang mengawasi.
I don't have any problem with that.	Saya tidak keberatan dengan itu.
How long did you live on the island?	Sudah berapa lama Anda tinggal di pulau tersebut?
Whichever of the routes you choose, allow about two hours.	Rute manapun yang Anda pilih memerlukan waktu dua jam.
Mary, please hug me.	Mary, tolong peluk aku.
We slept.	Kami tidur.
She slept.	Dia tidur.
I am naked!	Aku telanjang!
I'm not interested in your religion.	Saya tidak tertarik kepada agama Anda.
I studied your religion, but I didn't like it.	Saya sudah mempelajari agama Anda, tapi saya tidak menyukainya.
Only those who dare to fail greatly, can ever achieve greatly.	Hanya mereka yang berani segagal-gagalnya dapat meraih setinggi-tingginya.
It rained in the forest.	Turun hujan di hutan.
It was raining in the forest.	Sedang hujan di hutan.
It has rained in the forest.	Sudah hujan di hutan.
It has been raining in the forest.	Sudah pernah hujan di hutan.
Finding work is difficult.	Sulit sekali mencari pekerjaan.
I've decided to go a little further.	Saya putuskan untuk berusaha sedikit lagi.
I saw them leave together.	Saya melihat mereka berangkat bersama.
I saw Tom and Mary leave together.	Saya melihat Tom dan Mary berangkat bersama.
If Tom doesn't mind, I'd like to join him for lunch.	Kalau Tom tidak keberatan, saya ingin makan siang bersamanya.
If she doesn't mind, I can pick up her daughter from school today.	Kalau dia tidak keberatan, saya bisa menjemput putrinya dari sekolah hari ini.
If the guests don't mind, they are welcome to sleep in the basement.	Kalau para tamu tidak keberatan, mereka dipersilahkan tidur di lantai dasar.
If they don't mind, they are welcome to eat the leftovers in the fridge.	Kalau mereka tidak keberatan, mereka dipersilahkan makan sisa makanan di kulkas.
You just can't give up.	Kamu tidak boleh menyerah.
Today time is going slowly.	Hari ini waktu berjalan dengan lambat.
When did you travel to Rome?	Kapan kamu jalan-jalan ke Roma?
She lounged by the pool.	Ia bersantai dipinggir kolam.
Who would do such a terrible thing?	Siapa yang tega melakukan perbuatan keji seperti itu?
John was Jane's husband.	John dulunya adalah suami Jane.
Some of us hate it.	Beberapa dari kami membencinya.
I saw the red light.	Aku melihat cahaya merahnya.
We will need more time.	Kita akan membutuhkan waktu lebih.
We'll need more time.	Kita akan membutuhkan waktu lebih.
I lived there for years.	Aku bertahun-tahun tinggal di sana.
I was kind of nervous.	Aku agak gugup.
At what time will you be leaving?	Kamu berangkat jam berapa?
What time will you be leaving?	Kamu berangkat jam berapa?
I'm not really that sorry.	Aku tidak begitu menyesal.
Is Tom the father of Maria's daughter?	Apa Tom ayah dari anaknya Maria?
Do you like to sleep to the sound of the rain?	Kamu suka tidur dengan suara gemericik hujan?
I always forget people's names.	Aku selalu lupa dengan nama seseorang.
Mary is a lovely girl.	Mary adalah gadis yang menawan.
What kind of cars do you like?	Mobil apa yang kamu suka?
The first of May is a holiday.	Hari pertama bulan Mei adalah hari libur.
Tom is in constant pain.	Tom merasakan sakit yang tidak ada henti-hentinya.
Tom said he's no expert.	Tom berkata dia bukan ahlinya.
Tom says he's innocent.	Tom berkata dia tidak bersalah.
Tom says the same thing.	Tom mengatakan hal yang sama.
Tom says this is absurd.	Tom berkata ini tidak masuk akal.
Tom says this is normal.	Tom berkata ini normal.
Tom sleeps all the time.	Tom tidur sepanjang waktu.
Tom still has some time.	Tom masih ada waktu.
Tom still loves his job.	Tom masih menyukai pekerjaannya.
Tom still loves it here.	Tom masih betah disini.
Tom thinks the same way.	Tom juga berpikiran sama.
Tom was shocked by this.	Tom syok karena ini.
Tom was shot and killed.	Tom tertembak dan terbunuh.
Tom will have no choice.	Tom tidak akan punya pilihan.
Tom will quit on Monday.	Tom akan berhenti hari senin.
Tom wore a white jacket.	Tom mengenakan jaket putih.
Tom worked all his life.	Tom bekerja sepanjang hidupnya.
We have to keep working.	Kita harus tetap bekerja.
We have to stay healthy.	Kita harus tetap sehat.
I saw a wolf, a fox and a rabbit.	Saya melihat seekor serigala, seekor rubah dan seekor kelinci.
Nobody I know goes there anymore because it's too crowded.	Tidak ada kenalan saya yang pergi kesana lagi karena disana terlalu ramai.
Let's look at the map of the city!	Mari kita lihat peta kota!
You have a beautiful sister.	Saudarimu cantik.
My suitcase disappeared at the airport.	Koper saya hilang di bandara
He has many accumulated debts.	Hutangnya bertumpuk-tumpuk.
I want to win for once.	Saya ingin menang barang sekali.
I don't like stubborn people.	Saya tidak suka orang keras kepala.
He had to sell the farm for debts.	Dia harus menjual pertanian demi membayar hutang.
The mayor cut the ribbon with a pair of giant scissors.	Walikota memotong pitanya dengan sepasang gunting raksasa.
Tigers die leaving stripes behind, elephant die leaving ivories behind, people die leaving names behind.	Harimau mati meninggalkan belang, gajah mati meninggalkan gading, orang mati meninggalkan nama.
She isn't as beautiful as her sister.	Dia kurang cantik dibanding kakaknya.
Is your name the name of an American city?	Apa nama ibu kota negara Amerika?
This cake is delicious. Please have some.	Kue ini enak. Coba dimakan.
He has already gone to Switzerland.	Dia sudah pergi ke Swiss.
I'll try to write about ethnic and religious minorities.	Aku mencoba menulis tentang etnis dan agama minoritas.
You can recognize a bird by its feathers and a man by his friends.	Kau bisa mengenali seekor burung dari bulunya dan seorang pria dari kawan-kawannya.
Is Marika still living with her parents?	Masihkah Marika tinggal dengan orang tuanya?
Tom probably doesn't know Mary's phone number.	Tom kemungkinan tidak tahu nomor telepon Mary.
There's room.	Ada ruang.
Tom must be asleep.	Tom pasti tertidur.
It's quite irritating.	Itu cukup menjengkelkan.
I don't have anything to tell you.	Tidak ada yang ingin kuberitahukan padamu.
In the upper left corner it says "For sale".	Di sebelah kiri atas tertulis "Dijual".
Tom said he wanted to be left alone.	Tom bilang dia ingin ditinggal sendiri.
We would like a kitchen with plenty of storage area.	Kita mau dapur dengan tempat penyimpanan yang besar.
Mary heard a noise.	Mary mendengar suara.
This house is my grandmother's, but soon it will be mine.	Rumah ini milik nenek saya, tapi nanti akan menjadi milik saya.
This house is my mother's.	Rumah ini milik ibu saya.
We've had a difficult schedule.	Kami punya jadwal yang sulit.
I'd love to see her.	Aku ingin bertemu dengannya.
What's your favourite food?	Apa makanan favoritmu?
I'm not into that.	Aku tidak begitu suka dengan hal semacam itu.
Let us know where you'll be.	Beritahu kami di mana kamu berada?
I would love to see it.	Saya ingin melihatnya.
I want to come back next year.	Aku mau kembali tahun depan.
I feel I'm wasting my time here.	Aku merasa kalau aku membuang-buang waktuku di sini.
He's a doctor.	Dia adalah seorang dokter.
Tom has never had a mustache.	Tom tak pernah berkumis.
Leonor opens the bottle with his teeth.	Leonor membuka botol dengan giginya.
Stupid questions will produce stupid answers.	Pertanyaan yang bodoh akan menghasilkan jawaban bodoh
Larry's house is the big white one on the corner.	Rumah Larry adalah rumah besar putih yang berada di sudut.
He plays guitar well.	Dia bermain gitar dengan baik.
We play many different games at that party.	Kita memainkan banyak permainan berbeda di pesta itu.
My friend and I will go to Japan in August.	Aku dan temanku akan pergi ke Jepang pada bulan Agustus.
A person without a friend is like having a left hand without a right hand.	Seseorang tanpa teman seperti memiliki tangan kiri tanpa tangan kanan.
We have two cherry trees in the yard.	Kami memiliki dua pohon ceri di halaman.
Can your brother drive?	Bisakah saudaramu mengendarai mobil?
Do you have cash worth more than ten thousand euros?	Apakah Anda memiliki uang tunai senilai lebih dari sepuluh ribu Euro?
I am writing a message to Tom.	Saya sedang menulis pesan kepada Tom.
I'm writing a message to Tom.	Saya sedang menulis pesan kepada Tom.
That man is driving a car.	Pria itu mengendarai mobil.
I got tired.	Aku lelah.
Tom dug up the potatoes.	Tom memanen kentang-kentangnya.
When did you start wearing contact lenses?	Kapan kamu mulai pakai lensa kontak?
Turtles don't have teeth.	Kura-kura tidak punya gigi.
Why don't you want to clean your room?	Mengapa kamu tidak mau membersihkan kamarmu?
I agree totally.	Saya sepenuhnya setuju.
That was our home.	Itu dulunya rumah kami.
I keep trying to fix it, but it's still not working.	Saya tetap berusaha memperbaikinya, tetapi masih belum berhasil.
Please cut this piece of wood into two pieces. The total length of it is one meter. I need the first piece to be 80cm, and the other should be 20cm.	Tolong potong kayu ini menjadi dua bagian. Total panjangnya satu meter. Saya butuh potongan pertama sepanjang 80 cm, dan sisanya 20 cm.
I must study Japanese.	Saya harus belajar bahasa jepang.
I need a flight departing from Milwaukee to Indianapolis leaving Monday before 8am.	Saya perlu pesawat yang berangkat dari Milwaukee ke Indianapolis pada hari Senin sebelum pukul 8 pagi.
What is the seating capacity of the type of aircraft M80?	Berapa kapasitas tempat duduk pesawat jenis M80?
What are the nonstop flights from Cincinnati to Charlotte leaving after noon and arriving before 7pm?	Apa saja penerbangan langsung dari Cincinnati ke Charlotte yang berangkat setelah tengah hari dan tiba sebelum pukul 7 malam?
I'd like to fly from Miami to Chicago on on American Airlines arriving around 5pm.	Saya mau terbang dari Miami ke Chicago menggunakan American Airlines dan tiba sekitar pukul 5 sore.
I need a little of salt to make this dish.	Saya butuh sedikit garam untuk membuat sayur ini.
Now I know your secrets.	Sekarang saya tahu rahasia-rahasiamu.
Now I know your secret.	Sekarang saya tahu rahasiamu.
You know that I don't want to offend you.	Kau tahu, aku tidak ingin menyinggungmu.
I do not know if there is a hospital around here.	Aku tidak tahu apakah ada rumah sakit di sekitar sini.
Is this sold per kilo, as a set, or retail?	Apakah ini dijual per kilo, sebungkus, atau eceran?
I think this place is better than this other place.	Saya pikir tempat ini lebih bagus daripada yang ini.
I'm not sure if I knew about this or not.	Saya tidak yakin apakah saya mengetahui hal ini atau tidak.
What is the average price to rent a store here?	Berapa harga rata-rata untuk sewa toko disini?
How much does this house cost?	Berapa harga rumah ini?
How much is the rent for this house?	Berapa sewa rumah ini?
If I find land here, what is the cost per meter of the land or what is the average price for land here?	Jika aku menemukan tempat disini, berapa harga tanahnya per meter atau berapa harga rata-rata tanah disini?
That doll is scary.	Boneka itu seram.
It'll burn.	Itu akan terbakar
I just did what I always do.	Aku hanya melakukan yang selalu kulakukan.
The pain hasn't gone away.	Penyakitnya belum sembuh.
I'm no longer afraid of dogs.	Aku tidak lagi takut anjing.
You always make the same mistake.	Kamu selalu melakukan kesalahan yang sama.
We have a lot of homework.	Pekerjaan rumah kami sangat banyak.
Could it be that I am crazy?	Mungkinkah saya gila?
She bought a very expensive mouse.	Dia membeli tetikus baru yang sangat mahal.
If allowed, I would like to go away.	Jika boleh, saya ingin segera pergi dari sini.
I do not have the time to discuss this nonsense.	Saya tidak punya waktu untuk mendiskusikan hal omong kosong seperti ini.
Do not forget tomorrow he has to go pay his bill.	Jangan lupa besok dia harus pergi membayar tagihannya.
At least understand the advice first.	Setidaknya pahamilah nasihatnya terlebih dahulu.
Then, you can refute it.	Baru kemudian, Anda bisa menyanggahnya.
Do not eat hastily.	Makan tidak boleh tergesa-gesa.
This life is beautiful or not?	Hidup ini indah atau tidak?
Lately it has been raining heavily in the capital.	Akhir-akhir ini hujan deras melanda ibu kota.
Three days ago, I went with classmates to visit the zoo in the suburb.	Tiga hari yang lalu, saya pergi bersama teman sekelas mengunjungi kebun binatang di pinggiran kota.
The zoo is crowded with visitors.	Kebun binatang itu penuh sesak dengan para wisatawan.
Bejo makes a ginger coffee in a bronze cup.	Bejo membuat kopi jahe dalam cawan perunggu.
Well-cooked rice is difficult to find in warteg.	Nasi yang pulen susah ditemukan di warteg.
I like to eat yellow rice with cucumber pickles.	Saya suka makan nasi kuning dengan acar mentimun.
The yellow rice sold in front of Kalibata train station is very delicious.	Nasi kuning yang dijual di depan stasiun kereta Kalibata sangat enak.
Today's weather is very cold that it makes us shiver.	Cuaca hari ini sangat dingin sehingga membuat kami menggeletuk.
That fallow paddy field does not yield anymore.	Lahan sawah bera itu sudah tidak menghasilkan lagi.
I like to eat submarine pempek.	Saya suka makan empek-empek kapal selam.
Tom ate only one slice of bread.	Tom cuma makan satu potong roti.
Are you sure you heard something?	Kamu yakin mendengar sesuatu?
Why did you let Tom go to Boston by himself?	Kenapa kamu membiarkan Tom pergi ke Boston sendirian?
We're very lucky to be alive.	Kita beruntung sudah hidup.
You'll have to work a lot.	Kamu harus bekerja lebih giat.
Tom knows that Mary cannot speak French.	Tom tahu bahwa Mary tidak bisa berbicara bahasa Prancis.
Tom is at home now.	Tom sedang di rumah sekarang.
No need to be bothered, brother.	Tidak perlu repot-repot abang.
I am sitting here.	Saya duduk di sini.
Spring has already arrived. Each day is hotter than the last.	Musim semi sudah tiba. Setiap hari semakin panas.
I was not Tom who requested that I do this.	Bukan Tom yang meminta saya untuk melakukan ini.
I hope that will not happen again.	Saya harap itu tidak pernah terjadi lagi.
She sells food.	Dia menjual makanan.
Do not wake him.	Jangan bangunkan dia.
Tom practices the piano at least thirty minutes every day.	Tom berlatih piano sekurang-kurangnya tiga puluh menit setiap hari.
I'm young, but I'm not afraid.	Saya masih muda, tetapi sudah tidak takut.
Shopping is not complicated at all!	Belanja itu gak ribet sama sekali!
Tom hardly ever speaks French anymore.	Tom sudah jarang berbicara dalam bahasa Prancis.
I like this store.	Aku suka toko ini.
I can't do that yet.	Saya belum sanggup melakukannya.
What is your favorite food?	Apa makanan favoritmu?
I'll show you how to properly use it.	Saya akan menunjukkan cara menggunakannya dengan benar.
Tom probably can't do that.	Tom mungkin tidak bisa melakukannya.
I surprised Tom.	Aku mengangetkan Tom.
It was Tom who told me that.	Tom yang memberitahukan saya soal itu.
I won't eat it.	Aku tidak mau memakannya.
Mayolica is pottery from Spain and Italy.	Mayolica adalah tembikar dari Spanyol dan Italia.
How can I recycle coconut shells?	Bagaimana cara saya mendaur ulang tempurung kelapa?
How can I reuse coconut shells?	Bagaimana cara saya mempergunakan kembali tempurung kelapa?
Octopuses use coconut shells as portable shelters.	Gurita menggunakan tempurung kelapa sebagai pelindung portabel.
The octopus carries a coconut shell.	Gurita itu membawa tempurung kelapa.
That octopus is carrying a coconut shell.	Gurita itu membawa tempurung kelapa.
This octopus was hiding inside the coconut shell.	Gurita ini bersembunyi di dalam tempurung kelapa.
The octopus is hiding in a coconut shell.	Gurita ini bersembunyi di dalam tempurung kelapa.
Cranium is the hard bone of head that protects your brain from injury.	Tempurung kepala adalah tulang keras pada kepala yang melindungi bagian otak Anda dari cedera.
